D,p, Pol
21, 11, 11*x^2 - 6*x + 11
24, 11, 11*x^2 - 14*x + 11
28, 11, 11*x^2 - 6*x + 11
57, 11, 11*x^2 - 3*x + 11
76, 11, 11*x^2 - 3*x + 11
105, 11, 1771561*x^4 + 3086226*x^3 + 2780651*x^2 + 3086226*x + 1771561
120, 11, 1771561*x^4 - 5092164*x^3 + 6666806*x^2 - 5092164*x + 1771561
129, 11, 11*x^2 + 21*x + 11
140, 11, 14641*x^4 + 29458*x^3 + 33603*x^2 + 29458*x + 14641
156, 11, 3138428376721*x^4 - 4918199156420*x^3 + 6881033229414*x^2 - 4918199156420*x + 3138428376721
161, 11, 1331*x^2 - 1962*x + 1331
172, 11, 11*x^2 + 21*x + 11
184, 11, 1331*x^2 - 2338*x + 1331
204, 11, 214358881*x^4 + 259925380*x^3 + 112366662*x^2 + 259925380*x + 214358881
205, 11, 121*x^4 - 226*x^3 + 331*x^2 - 226*x + 121
217, 11, 1331*x^2 - 1962*x + 1331
237, 11, 161051*x^2 + 110502*x + 161051
248, 11, 1331*x^2 - 2338*x + 1331
249, 11, 1331*x^2 - 587*x + 1331
285, 11, 214358881*x^4 - 297166716*x^3 + 354843206*x^2 - 297166716*x + 214358881
305, 11, 121*x^4 + 381*x^3 + 521*x^2 + 381*x + 121
316, 11, 2357947691*x^6 + 2865779246*x^5 + 427444677*x^4 - 1575649852*x^3 + 427444677*x^2 + 2865779246*x + 2357947691
321, 11, 4177248169415651*x^6 - 8038547876901432*x^5 + 13636408355083272*x^4 - 15602533878463333*x^3 + 13636408355083272*x^2 - 8038547876901432*x + 4177248169415651
329, 11, 161051*x^2 + 316326*x + 161051
332, 11, 1331*x^2 - 587*x + 1331
348, 11, 5559917313492231481*x^4 - 5187154804354942276*x^3 + 4921139368621662486*x^2 - 5187154804354942276*x + 5559917313492231481
376, 11, 161051*x^2 + 97426*x + 161051
380, 11, 214358881*x^4 - 717173534*x^3 + 1013219331*x^2 - 717173534*x + 214358881
381, 11, 161051*x^2 + 300198*x + 161051
393, 11, 161051*x^2 - 319798*x + 161051
413, 11, 1331*x^2 - 1962*x + 1331
417, 11, 1331*x^2 + 813*x + 1331
428, 11, 1331*x^2 + 2581*x + 1331
437, 11, 1331*x^2 - 1062*x + 1331
453, 11, 19487171*x^2 - 38959242*x + 19487171
469, 11, 161051*x^6 - 381392*x^5 + 781968*x^4 - 840230*x^3 + 781968*x^2 - 381392*x + 161051
472, 11, 1331*x^2 - 2338*x + 1331
492, 11, 45949729863572161*x^4 + 2594377813381244*x^3 + 87848057784908166*x^2 + 2594377813381244*x + 45949729863572161
497, 11, 19487171*x^2 - 36437514*x + 19487171
501, 11, 285311670611*x^2 + 242308093078*x + 285311670611
505, 11, 214358881*x^8 + 149001457*x^7 - 414267337*x^6 - 122585736*x^5 + 453098595*x^4 - 122585736*x^3 - 414267337*x^2 + 149001457*x + 214358881
508, 11, 161051*x^2 + 300198*x + 161051
524, 11, 161051*x^2 - 319798*x + 161051
536, 11, 11*x^2 - 14*x + 11
545, 11, 121*x^4 + 3*x^3 - 127*x^2 + 3*x + 121
552, 11, 5559917313492231481*x^4 + 12317345941623211500*x^3 + 15180905881177563638*x^2 + 12317345941623211500*x + 5559917313492231481
556, 11, 1331*x^2 + 813*x + 1331
568, 11, 19487171*x^6 - 45099846*x^5 + 42411853*x^4 - 33311060*x^3 + 42411853*x^2 - 45099846*x + 19487171
589, 11, 1331*x^2 - 1062*x + 1331
604, 11, 19487171*x^2 - 38959242*x + 19487171
633, 11, 1331*x^2 - 2613*x + 1331
645, 11, 379749833583241*x^4 - 717113256543684*x^3 + 709776087578486*x^2 - 717113256543684*x + 379749833583241
668, 11, 285311670611*x^2 + 242308093078*x + 285311670611
681, 11, 161051*x^2 - 315541*x + 161051
689, 11, 214358881*x^8 + 391222161*x^7 + 346915591*x^6 + 323400816*x^5 + 389999139*x^4 + 323400816*x^3 + 346915591*x^2 + 391222161*x + 214358881
712, 11, 121*x^4 + 175*x^3 + 208*x^2 + 175*x + 121
717, 11, 4177248169415651*x^2 - 5747047987118902*x + 4177248169415651
721, 11, 161051*x^2 + 316326*x + 161051
728, 11, 1771561*x^4 - 3323628*x^3 + 3175958*x^2 - 3323628*x + 1771561
732, 11, 9849732675807611094711841*x^4 + 30807764711898956738709764*x^3 + 42599311657704995677755846*x^2 + 30807764711898956738709764*x + 9849732675807611094711841
744, 11, 5559917313492231481*x^4 + 15748558122386129260*x^3 + 20604315955553085174*x^2 + 15748558122386129260*x + 5559917313492231481
745, 11, 1771561*x^4 - 5782861*x^3 + 8138881*x^2 - 5782861*x + 1771561
776, 11, 1771561*x^4 - 5276164*x^3 + 7175094*x^2 - 5276164*x + 1771561
777, 11, 0
780, 11, 0
789, 11, 34522712143931*x^2 - 59607429262438*x + 34522712143931
805, 11, 1771561*x^4 - 1830972*x^3 + 3344438*x^2 - 1830972*x + 1771561
813, 11, 285311670611*x^2 + 510788310678*x + 285311670611
824, 11, 161051*x^2 + 97426*x + 161051
844, 11, 1331*x^2 - 2613*x + 1331
849, 11, 1331*x^2 - 2379*x + 1331
860, 11, 379749833583241*x^4 + 958339999129502*x^3 + 1161789729688923*x^2 + 958339999129502*x + 379749833583241
876, 11, 0
888, 11, 9849732675807611094711841*x^4 + 15812788035442206788019436*x^3 + 24558399748408822287697446*x^2 + 15812788035442206788019436*x + 9849732675807611094711841
893, 11, 161051*x^2 - 203523*x + 161051
897, 11, 0
908, 11, 161051*x^2 - 315541*x + 161051
920, 11, 1771561*x^4 - 1189188*x^3 - 180682*x^2 - 1189188*x + 1771561
921, 11, 1331*x^2 - 1434*x + 1331
952, 11, 25937424601*x^4 - 26712845236*x^3 + 32794938870*x^2 - 26712845236*x + 25937424601
956, 11, 4177248169415651*x^2 - 5747047987118902*x + 4177248169415651
989, 11, 1331*x^2 + 1638*x + 1331
1020, 11, 0
1036, 11, 14641*x^4 + 3502*x^3 + 13443*x^2 + 3502*x + 14641
1041, 11, 161051*x^2 - 319501*x + 161051
1052, 11, 34522712143931*x^2 - 59607429262438*x + 34522712143931
1064, 11, 1771561*x^4 - 5028606*x^3 + 6875291*x^2 - 5028606*x + 1771561
1077, 11, 61159090448414546291*x^2 + 120543173692702683818*x + 61159090448414546291
1084, 11, 285311670611*x^2 + 510788310678*x + 285311670611
1085, 11, 1771561*x^4 + 5714852*x^3 + 7952118*x^2 + 5714852*x + 1771561
1113, 11, 0
1121, 11, 1331*x^2 - 1062*x + 1331
1128, 11, 0
1132, 11, 1331*x^2 - 2379*x + 1331
1141, 11, 11*x^2 - 6*x + 11
1173, 11, 5559917313492231481*x^4 + 11781379538460088700*x^3 + 14184106197354886038*x^2 + 11781379538460088700*x + 5559917313492231481
1185, 11, 17449402268886407318558803753801*x^4 - 5611174569733946058740688808014*x^3 + 18249887417899158674076917665451*x^2 - 5611174569733946058740688808014*x + 17449402268886407318558803753801
1196, 11, 3138428376721*x^4 + 5687242647350*x^3 + 8713319382267*x^2 + 5687242647350*x + 3138428376721
1205, 11, 1771561*x^4 + 5161746*x^3 + 7106411*x^2 + 5161746*x + 1771561
1209, 11, 0
1212, 11, 0
1228, 11, 1331*x^2 - 1434*x + 1331
1240, 11, 1771561*x^4 + 355212*x^3 - 2794282*x^2 + 355212*x + 1771561
1245, 11, 5559917313492231481*x^4 - 11838661714897683204*x^3 + 13858031434477393046*x^2 - 11838661714897683204*x + 5559917313492231481
1253, 11, 161051*x^2 + 316326*x + 161051
1272, 11, 0
1273, 11, 11*x^2 - 3*x + 11
1293, 11, 0
1304, 11, 161051*x^6 - 576928*x^5 + 1012000*x^4 - 1191598*x^3 + 1012000*x^2 - 576928*x + 161051
1308, 11, 0
1317, 11, 4177248169415651*x^2 + 4035949421046198*x + 4177248169415651
1333, 11, 1331*x^2 + 1638*x + 1331
1337, 11, 34522712143931*x^2 - 29992182423834*x + 34522712143931
1349, 11, 19487171*x^2 - 31872117*x + 19487171
1388, 11, 161051*x^2 - 319501*x + 161051
1393, 11, 2357947691*x^10 + 6615887234*x^9 + 12182074663*x^8 + 20607255053*x^7 + 26738984360*x^6 + 27926719687*x^5 + 26738984360*x^4 + 20607255053*x^3 + 12182074663*x^2 + 6615887234*x + 2357947691
1405, 11, 1771561*x^4 - 1244866*x^3 + 718171*x^2 - 1244866*x + 1771561
1416, 11, 5559917313492231481*x^4 + 4016201282783810780*x^3 + 7544933888626274262*x^2 + 4016201282783810780*x + 5559917313492231481
1432, 11, 161051*x^2 + 97426*x + 161051
1436, 11, 61159090448414546291*x^6 + 61342634382778039170*x^5 + 65208620654230313469*x^4 + 97111603833813852124*x^3 + 65208620654230313469*x^2 + 61342634382778039170*x + 61159090448414546291
1437, 11, 0
1469, 11, 1771561*x^4 - 3995313*x^3 + 4610576*x^2 - 3995313*x + 1771561
1473, 11, 2357947691*x^2 - 4422508643*x + 2357947691
1484, 11, 3138428376721*x^4 - 961576309166*x^3 + 3670944058851*x^2 - 961576309166*x + 3138428376721
1509, 11, 0
1513, 11, 379749833583241*x^4 + 576880662483868*x^3 + 884957698556854*x^2 + 576880662483868*x + 379749833583241
1517, 11, 1771561*x^4 - 1863742*x^3 + 586203*x^2 - 1863742*x + 1771561
1528, 11, 34522712143931*x^2 + 30510390062894*x + 34522712143931
1537, 11, 121*x^4 + 203*x^3 + 193*x^2 + 203*x + 121
1561, 11, 19487171*x^2 - 36437514*x + 19487171
1564, 11, 0
1569, 11, 161051*x^2 - 219594*x + 161051
1580, 11, 0
1581, 11, 5559917313492231481*x^4 - 2868848875473826180*x^3 + 6620963839721535894*x^2 - 2868848875473826180*x + 5559917313492231481
1592, 11, 2357947691*x^2 + 354349618*x + 2357947691
1605, 11, 5559917313492231481*x^4 + 471057473332499196*x^3 + 983134063379204246*x^2 + 471057473332499196*x + 5559917313492231481
1608, 11, 379749833583241*x^4 - 731632718323100*x^3 + 1084220937147318*x^2 - 731632718323100*x + 379749833583241
1612, 11, 3138428376721*x^4 - 2343163531302*x^3 - 1562600930677*x^2 - 2343163531302*x + 3138428376721
1624, 11, 14641*x^4 - 3036*x^3 - 22810*x^2 - 3036*x + 14641
1641, 11, 0
1645, 11, 25937424601*x^4 - 547017042*x^3 - 44119153957*x^2 - 547017042*x + 25937424601
1660, 11, 3138428376721*x^4 - 9751550076114*x^3 + 13248687933011*x^2 - 9751550076114*x + 3138428376721
1689, 11, 2357947691*x^2 + 1907743318*x + 2357947691
1704, 11, 0
1713, 11, 161051*x^2 + 294123*x + 161051
1724, 11, 0
1729, 11, 1771561*x^4 - 712206*x^3 + 438091*x^2 - 712206*x + 1771561
1740, 11, 0
1756, 11, 0
1757, 11, 19487171*x^2 - 36437514*x + 19487171
1784, 11, 19487171*x^2 + 38712254*x + 19487171
1817, 11, 4177248169415651*x^2 + 7249105991953098*x + 4177248169415651
1821, 11, 34522712143931*x^2 + 57902405858406*x + 34522712143931
1833, 11, 0
1869, 11, 81402749386839761113321*x^4 + 148264545590513853461532*x^3 + 138353240758177785804278*x^2 + 148264545590513853461532*x + 81402749386839761113321
1905, 11, 0
1909, 11, 2357947691*x^2 - 2917456918*x + 2357947691
1957, 11, 2357947691*x^6 - 9955240999*x^5 + 20480348658*x^4 - 25520718475*x^3 + 20480348658*x^2 - 9955240999*x + 2357947691
1965, 11, 0
1977, 11, 285311670611*x^2 - 427351250053*x + 285311670611
2001, 11, 0
2021, 11, 2357947691*x^6 + 1751989008*x^5 - 1518919248*x^4 - 1961245398*x^3 - 1518919248*x^2 + 1751989008*x + 2357947691
2037, 11, 5559917313492231481*x^4 - 865738949098919676*x^3 - 6444798742857662314*x^2 - 865738949098919676*x + 5559917313492231481
2041, 11, 1771561*x^4 - 1862757*x^3 + 1838761*x^2 - 1862757*x + 1771561
2045, 11, 1771561*x^4 + 1046322*x^3 - 776437*x^2 + 1046322*x + 1771561
2065, 11, 214358881*x^4 - 364918268*x^3 + 513928518*x^2 - 364918268*x + 214358881
2085, 11, 0
2109, 11, 0
2177, 11, 61159090448414546291*x^6 + 8328873509253287529*x^5 + 139164691886255915187*x^4 + 72519699949132449*x^3 + 139164691886255915187*x^2 + 8328873509253287529*x + 61159090448414546291
2185, 11, 0
2217, 11, 161051*x^2 + 139773*x + 161051
2229, 11, 0
2261, 11, 25937424601*x^4 + 55803157278*x^3 + 64724724923*x^2 + 55803157278*x + 25937424601
2265, 11, 0
2301, 11, 0
2317, 11, 1331*x^2 - 1962*x + 1331
2329, 11, 121*x^4 - 178*x^3 + 235*x^2 - 178*x + 121
2345, 11, 0
2353, 11, 1771561*x^4 - 1901475*x^3 + 3445153*x^2 - 1901475*x + 1771561
2361, 11, 161051*x^2 + 243402*x + 161051
2373, 11, 0
2397, 11, 0
2433, 11, 19487171*x^2 + 16695942*x + 19487171
2449, 11, 0
2461, 11, 2357947691*x^2 - 3476292118*x + 2357947691
2481, 11, 19487171*x^2 - 38969581*x + 19487171
2485, 11, 379749833583241*x^4 + 1240110357309538*x^3 + 1738383457365483*x^2 + 1240110357309538*x + 379749833583241
2505, 11, 0
2537, 11, 1331*x^2 + 1638*x + 1331
2569, 11, 2357947691*x^2 - 2874798918*x + 2357947691
2573, 11, 2357947691*x^2 - 2917456918*x + 2357947691
2613, 11, 0
2653, 11, 1331*x^2 - 1962*x + 1331
2661, 11, 0
2669, 11, 3138428376721*x^8 + 7545166437820*x^7 + 9452653904650*x^6 + 7500759219248*x^5 + 5664256975331*x^4 + 7500759219248*x^3 + 9452653904650*x^2 + 7545166437820*x + 3138428376721
2681, 11, 505447028499293771*x^2 - 1010755846765603194*x + 505447028499293771
2697, 11, 0
2701, 11, 379749833583241*x^4 + 333171125406718*x^3 + 768413207657211*x^2 + 333171125406718*x + 379749833583241
2757, 11, 0
2769, 11, 0
2829, 11, 0
2845, 11, 1771561*x^4 - 796574*x^3 - 1935749*x^2 - 796574*x + 1771561
2877, 11, 0
2881, 11, 11*x^2 + 21*x + 11
2901, 11, 285311670611*x^2 - 369493061994*x + 285311670611
2921, 11, 4177248169415651*x^2 - 3694406320249398*x + 4177248169415651
2933, 11, 2357947691*x^2 - 2874798918*x + 2357947691
2945, 11, 0
3005, 11, 25937424601*x^4 + 69612040956*x^3 + 91384531286*x^2 + 69612040956*x + 25937424601
3009, 11, 0
3013, 11, 0
3021, 11, 0
3053, 11, 19487171*x^2 - 20300259*x + 19487171
3057, 11, 0
3093, 11, 0
3097, 11, 11*x^2 - 3*x + 11
3101, 11, 161051*x^2 + 316326*x + 161051
3153, 11, 161051*x^2 + 317898*x + 161051
3165, 11, 0
3189, 11, 61159090448414546291*x^2 + 96084971116747301034*x + 61159090448414546291
3197, 11, 2357947691*x^2 - 3783469482*x + 2357947691
3241, 11, 19487171*x^2 - 36437514*x + 19487171
3269, 11, 19487171*x^2 - 36437514*x + 19487171
3273, 11, 505447028499293771*x^2 - 385810411780562858*x + 505447028499293771
3297, 11, 0
3317, 11, 2357947691*x^2 - 3476292118*x + 2357947691
3401, 11, 161051*x^2 - 203523*x + 161051
3405, 11, 0
3409, 11, 19487171*x^2 - 36437514*x + 19487171
3417, 11, 0
3453, 11, 0
3473, 11, 0
3489, 11, 19487171*x^2 - 30834733*x + 19487171
3493, 11, 1331*x^2 - 1962*x + 1331
3497, 11, 1771561*x^4 - 6397173*x^3 + 9251849*x^2 - 6397173*x + 1771561
3505, 11, 1771561*x^4 - 2670979*x^3 + 3218361*x^2 - 2670979*x + 1771561
3561, 11, 2357947691*x^2 + 2009416682*x + 2357947691
1788, 11, 0
1880, 11, 25937424601*x^4 - 65817561348*x^3 + 93245985878*x^2 - 65817561348*x + 25937424601
1916, 11, 0
1932, 11, 0
1964, 11, 2357947691*x^2 - 4422508643*x + 2357947691
1976, 11, 1771561*x^4 - 2482956*x^3 + 3050966*x^2 - 2482956*x + 1771561
2008, 11, 19487171*x^2 + 38712254*x + 19487171
2012, 11, 7400249944258160101211*x^2 + 7985095812977724157606*x + 7400249944258160101211
2056, 11, 214358881*x^8 - 361090983*x^7 + 23062721*x^6 + 208761406*x^5 - 157199442*x^4 + 208761406*x^3 + 23062721*x^2 - 361090983*x + 214358881
2076, 11, 0
2092, 11, 161051*x^2 - 219594*x + 161051
